,CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5,hour
3324,04/30/2022,1900-01-01 08:39:00,MANHATTAN,10016.0,40.741272,-73.97535,"(40.741272, -73.97535)",EAST 30 STREET,1 AVENUE,,1,0,1,0,0,0,0,0,Unspecified,,,,,4523399,Station Wagon/Sport Utility Vehicle,,,,,8
3325,04/29/2022,1900-01-01 18:20:00,MANHATTAN,10029.0,40.79157,-73.94469,"(40.79157, -73.94469)",EAST 106 STREET,3 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4524012,Ambulance,Box Truck,,,,18
3326,04/30/2022,1900-01-01 20:30:00,MANHATTAN,10012.0,40.72089,-73.99576,"(40.72089, -73.99576)",MOTT STREET,KENMARE STREET,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4523426,Station Wagon/Sport Utility Vehicle,Bike,,,,20
3327,04/30/2022,1900-01-01 17:41:00,MANHATTAN,10006.0,40.709087,-74.01312,"(40.709087, -74.01312)",,,120       GREENWICH STREET,0,0,0,0,0,0,0,0,Unspecified,,,,,4523476,Sedan,,,,,17
3328,04/30/2022,1900-01-01 15:36:00,MANHATTAN,10065.0,0.0,0.0,"(0.0, 0.0)",EAST 65 STREET,LEXINGTON AVENUE,,1,0,1,0,0,0,0,0,,,,,,4523977,,,,,,15
3329,04/30/2022,1900-01-01 00:02:00,MANHATTAN,10002.0,40.7174,-73.989746,"(40.7174, -73.989746)",,,69        LUDLOW STREET,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4523239,Sedan,Bike,,,,0
3330,04/29/2022,1900-01-01 19:45:00,MANHATTAN,10002.0,40.71784,-73.98377,"(40.71784, -73.98377)",,,80        RIDGE STREET,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4524097,Station Wagon/Sport Utility Vehicle,,,,,19
3331,04/08/2022,1900-01-01 14:00:00,MANHATTAN,10035.0,40.7966,-73.929,"(40.7966, -73.929)",,,60        PALADINO AVENUE,0,0,0,0,0,0,0,0,Unspecified,,,,,4523964,Sedan,,,,,14
3332,04/27/2022,1900-01-01 23:01:00,MANHATTAN,10065.0,40.761486,-73.96061,"(40.761486, -73.96061)",EAST 62 STREET,1 AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4524202,Sedan,Sedan,,,,23
3333,04/29/2022,1900-01-01 11:40:00,MANHATTAN,10016.0,40.74668,-73.9745,"(40.74668, -73.9745)",2 AVENUE,EAST 37 STREET,,0,1,0,1,0,0,0,0,Driver Inattention/Distraction,,,,,4524160,Bus,,,,,11
3334,04/30/2022,1900-01-01 09:04:00,MANHATTAN,10065.0,40.767628,-73.96846,"(40.767628, -73.96846)",,,761       MADISON AVENUE,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,4523956,Sedan,,,,,9
3335,04/30/2022,1900-01-01 00:41:00,MANHATTAN,10013.0,40.718117,-74.0089,"(40.718117, -74.0089)",,,62        HUDSON STREET,0,0,0,0,0,0,0,0,Alcohol Involvement,,,,,4523473,Sedan,,,,,0
